2021-07-20 21:23:27 INFO  OrdinaryConnectionPool - Free connection was taken by.epam.jwd.web.connectionPool.ProxyConnection@69adf72c
2021-07-20 21:23:27 INFO  OrdinaryConnectionPool - Taken connection was returned by.epam.jwd.web.connectionPool.ProxyConnection@69adf72c
2021-07-20 21:23:27 INFO  OrdinaryConnectionPool - Free connection was taken by.epam.jwd.web.connectionPool.ProxyConnection@344344fa
2021-07-20 21:23:27 INFO  OrdinaryConnectionPool - Taken connection was returned by.epam.jwd.web.connectionPool.ProxyConnection@344344fa
2021-07-20 21:23:27 INFO  OrdinaryConnectionPool - Free connection was taken by.epam.jwd.web.connectionPool.ProxyConnection@615f972
2021-07-20 21:23:27 INFO  OrdinaryConnectionPool - Taken connection was returned by.epam.jwd.web.connectionPool.ProxyConnection@615f972
2021-07-20 21:23:27 INFO  OrdinaryConnectionPool - Free connection was taken by.epam.jwd.web.connectionPool.ProxyConnection@73393584
2021-07-20 21:23:28 INFO  OrdinaryConnectionPool - Taken connection was returned by.epam.jwd.web.connectionPool.ProxyConnection@73393584
2021-07-20 21:23:28 INFO  OrdinaryConnectionPool - Free connection was taken by.epam.jwd.web.connectionPool.ProxyConnection@1827a871
2021-07-20 21:23:28 INFO  OrdinaryConnectionPool - Taken connection was returned by.epam.jwd.web.connectionPool.ProxyConnection@1827a871
2021-07-20 21:23:28 INFO  OrdinaryConnectionPool - Free connection was taken by.epam.jwd.web.connectionPool.ProxyConnection@7249dadf
2021-07-20 21:23:28 INFO  OrdinaryConnectionPool - Taken connection was returned by.epam.jwd.web.connectionPool.ProxyConnection@7249dadf
2021-07-20 21:23:28 INFO  OrdinaryConnectionPool - Free connection was taken by.epam.jwd.web.connectionPool.ProxyConnection@1c25b8a7
2021-07-20 21:23:28 INFO  OrdinaryConnectionPool - Taken connection was returned by.epam.jwd.web.connectionPool.ProxyConnection@1c25b8a7
2021-07-20 21:23:28 INFO  OrdinaryConnectionPool - Free connection was taken by.epam.jwd.web.connectionPool.ProxyConnection@52350abb
2021-07-20 21:23:28 INFO  OrdinaryConnectionPool - Taken connection was returned by.epam.jwd.web.connectionPool.ProxyConnection@52350abb
2021-07-20 21:23:28 INFO  OrdinaryConnectionPool - Free connection was taken by.epam.jwd.web.connectionPool.ProxyConnection@15bcf458
2021-07-20 21:23:28 INFO  OrdinaryConnectionPool - Taken connection was returned by.epam.jwd.web.connectionPool.ProxyConnection@15bcf458
2021-07-20 21:23:28 INFO  OrdinaryConnectionPool - Free connection was taken by.epam.jwd.web.connectionPool.ProxyConnection@fac80
2021-07-20 21:23:29 INFO  OrdinaryConnectionPool - Taken connection was returned by.epam.jwd.web.connectionPool.ProxyConnection@fac80
2021-07-20 21:23:29 INFO  OrdinaryConnectionPool - Free connection was taken by.epam.jwd.web.connectionPool.ProxyConnection@69adf72c
2021-07-20 21:23:29 INFO  OrdinaryConnectionPool - Taken connection was returned by.epam.jwd.web.connectionPool.ProxyConnection@69adf72c
2021-07-20 21:23:29 INFO  OrdinaryConnectionPool - Free connection was taken by.epam.jwd.web.connectionPool.ProxyConnection@344344fa
